Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Mohamed Naser Abu Huwaidi",Killed,"December 23, 2023","Israel and the Occupied Palestinian Territory",Al-Istiklal,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-naser-abu-huwaidi/
"Mohamed Yaghi",Killed,"February 23, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-yaghi/
"Mohammad al-Khaldi",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mohammad-al-khaldi/
"Mohammad Balousha",Killed,"October 17, 2023","Israel and the Occupied Palestinian Territory","Palestine Today",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammad-balousha/
"Mohammad Jarghoun",Killed,"October 7, 2023","Israel and the Occupied Palestinian Territory","Smart Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammad-jarghoun/
"Mohammed Abed Rabbo",Killed,"August 27, 2024","Israel and the Occupied Palestinian Territory","Al-Manara Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-abed-rabbo/
"Mohammed Abu Daqqa",Killed,"July 29, 2024","Israel and the Occupied Palestinian Territory","Freelance, Al-Hadath",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-abu-daqqa/
"Mohammed Abu Hatab",Killed,"November 2, 2023","Israel and the Occupied Palestinian Territory","Palestine TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-abu-hatab/
"Mohammed Abu Jasser",Killed,"July 20, 2024","Israel and the Occupied Palestinian Territory","Al-Risala, Felesteen",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-abu-jasser/
"Mohammed Abu Sharia",Killed,"July 1, 2024","Israel and the Occupied Palestinian Territory","Shams News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-abu-sharia/
"Mohammed Al Kuaifi",Killed,"September 15, 2025","Israel and the Occupied Palestinian Territory","Safa News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-kuaifi/
"Mohammed Al Qrinawi",Killed,"December 14, 2024","Israel and the Occupied Palestinian Territory","Snd News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-qrinawi/
"Mohammed Al-Ladaa",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/mohammed-al-ladaa/
"Mohammed Al-Sakani",Killed,"July 4, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,,https://cpj.org/data/people/mohammed-al-sakani/
"Mohammed Al-Salhi",Killed,"October 7, 2023","Israel and the Occupied Palestinian Territory","Fourth Authority news agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-salhi/
"Mohammed Al-Sharafi",Killed,"December 18, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-sharafi/
"Mohammed Al-Talmas",Killed,"January 14, 2025","Israel and the Occupied Palestinian Territory","Safa News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-talmas/
"Mohammed Al-Tanani",Killed,"October 9, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-tanani/
"Mohammed Alaa Al-Sawalhi",Killed,"September 17, 2025","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-alaa-al-sawalhi/
"Mohammed Ali",Killed,"October 20, 2023","Israel and the Occupied Palestinian Territory","Al-Shabab Radio (Youth Radio)",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-ali/
"Mohammed Atallah",Killed,"January 29, 2024","Israel and the Occupied Palestinian Territory","Al-Resalah,Raseef22",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-atallah/
"Mohammed Balousha",Killed,"December 14, 2024","Israel and the Occupied Palestinian Territory","Al Mashhad Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-balousha/
"Mohammed Bassam Al Jamal",Killed,"April 25, 2024","Israel and the Occupied Palestinian Territory","Palestine Now",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-al-jamal/
"Mohammed Imad Labad",Killed,"October 23, 2023","Israel and the Occupied Palestinian Territory","Al Resalah",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-imad-labad/
"Mohammed Issa Abu Saada",Killed,"August 6, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-issa-abu-saada/
